question,latency_sec,chunks_retrieved,unique_sources,unique_docs,has_citations,sources,answer,user_feedback
Que orientaciones iniciales se proponen para el uso academico de la IA en la universidad?,3.194,4,4,1,True,Boletin1_IA_2024-01-19.pdf (p.1); Boletin1_IA_2024-01-19.pdf (p.4); Boletin1_IA_2024-01-19.pdf (p.12); Boletin1_IA_2024-01-19.pdf (p.9),"Las orientaciones iniciales para el uso académico de la Inteligencia Artificial (IA) en la UABC enfatizan la necesidad de adoptar una postura ética y responsable. Se reconoce el potencial de la IA para personalizar el aprendizaje y optimizar recursos, pero también se subraya la importancia de abordar los desafíos que surgen de su implementación. La universidad se compromete a garantizar que el uso de la IA sea equitativo y transparente, priorizando el bienestar de su comunidad y manteniendo sus valores fundamentales de excelencia académica y ética. 

Referencias: 
(Boletin1_IA_2024-01-19.pdf, p.1; Boletin1_IA_2024-01-19.pdf, p.4; Boletin1_IA_2024-01-19.pdf, p.12; Boletin1_IA_2024-01-19.pdf, p.9).",
Que recomendaciones se dan para integrar la IA generativa en la practica docente?,2.223,4,4,1,True,IA_Practica_Docente_2024-01-24.pdf (p.4); IA_Practica_Docente_2024-01-24.pdf (p.1); IA_Practica_Docente_2024-01-24.pdf (p.3); IA_Practica_Docente_2024-01-24.pdf (p.5),"Para integrar la inteligencia artificial generativa en la práctica docente, se recomienda que los docentes se familiaricen con la terminología y las aplicaciones de estas herramientas. Es esencial que utilicen recursos y formaciones específicas, como los MOOCs, para adquirir el conocimiento necesario. Además, se sugiere que las instituciones educativas desarrollen políticas o directrices formales sobre el uso de la IA, dado que actualmente menos del 10% de las instituciones cuentan con ellas. Esto facilitará una adopción pedagógica más efectiva de la IA generativa en el ámbito educativo.

Referencias: 
(IA_Practica_Docente_2024-01-24.pdf, p.4; IA_Practica_Docente_2024-01-24.pdf, p.1).",
Que riesgos eticos se mencionan al usar IA con datos de estudiantes o participantes?,3.932,4,3,2,True,Incorporacion_IA_Procesos_de_Investigacion_2024-06-12-6.pdf (p.8); Boletin1_IA_2024-01-19.pdf (p.10); Boletin1_IA_2024-01-19.pdf (p.8),"Los riesgos éticos al usar IA con datos de estudiantes o participantes incluyen la necesidad de respetar la privacidad de los datos y obtener el consentimiento informado. Además, es crucial utilizar datos representativos y justos para evitar sesgos en los modelos de IA, así como asegurar que la IA no amplíe las brechas existentes entre diferentes grupos demográficos. También se destaca la importancia de establecer pautas claras para la recopilación de datos y la publicación de resultados, garantizando así la integridad y ética en la investigación.

Referencias: 
(Incorporacion_IA_Procesos_de_Investigacion_2024-06-12-6.pdf, p.8; Boletin1_IA_2024-01-19.pdf, p.10; Boletin1_IA_2024-01-19.pdf, p.8).",
Que papel juegan los comites de etica en proyectos de investigacion que usan IA?,4.021,4,3,2,True,Incorporacion_IA_Procesos_de_Investigacion_2024-06-12-6.pdf (p.8); Incorporacion_IA_Procesos_de_Investigacion_2024-06-12-6.pdf (p.10); Boletin1_IA_2024-01-19.pdf (p.10),"Los comités de ética en la investigación desempeñan un papel crucial en proyectos que utilizan inteligencia artificial, ya que ayudan a mitigar riesgos éticos asociados con la recolección, almacenamiento y tratamiento de datos. Estos comités evalúan los protocolos de investigación para asegurar que se obtenga el consentimiento informado de los participantes y que se proteja su información sensible, al mismo tiempo que promueven la transparencia y el cumplimiento de políticas de datos abiertos. Además, contribuyen a la discusión sobre la validez de las fuentes de información y los derechos de autor en el contexto de la IA (Incorporacion_IA_Procesos_de_Investigacion_2024-06-12-6.pdf, p.8; Boletin1_IA_2024-01-19.pdf, p.10).

Referencias:
(Incorporacion_IA_Procesos_de_Investigacion_2024-06-12-6.pdf, p.8; Boletin1_IA_2024-01-19.pdf, p.10).",
Que se recomienda respecto a sesgos (bias) en datos y resultados generados por IA?,3.448,4,3,2,True,Incorporacion_IA_Procesos_de_Investigacion_2024-06-12-6.pdf (p.8); Boletin1_IA_2024-01-19.pdf (p.8); Incorporacion_IA_Procesos_de_Investigacion_2024-06-12-6.pdf (p.5),"Se recomienda que los investigadores sean conscientes de los sesgos que pueden existir en los datos y algoritmos utilizados en la inteligencia artificial. Es fundamental utilizar datos representativos y justos en el entrenamiento de modelos, así como realizar una evaluación continua de los algoritmos para minimizar los sesgos. Además, se sugiere incluir medidas en los diseños de investigación que aborden estos riesgos y fomentar la transparencia en el uso de modelos de IA. Existen guías e iniciativas que promueven el uso de datos más inclusivos para mitigar la parcialidad.

Referencias: 
(Incorporacion_IA_Procesos_de_Investigacion_2024-06-12-6.pdf, p.5; Boletin1_IA_2024-01-19.pdf, p.8; Incorporacion_IA_Procesos_de_Investigacion_2024-06-12-6.pdf, p.8).",
Que buenas practicas se sugieren para el uso de IA en evaluacion o tareas academicas?,4.587,4,3,2,True,Boletin1_IA_2024-01-19.pdf (p.10); IA_Practica_Docente_2024-01-24.pdf (p.13); Boletin1_IA_2024-01-19.pdf (p.8),"Se sugieren varias buenas prácticas para el uso de IA en la evaluación y tareas académicas. Es recomendable asignar actividades que fomenten el pensamiento crítico y que no se centren en tareas rutinarias. Además, se debe evaluar el proceso de aprendizaje, no solo el producto final, mediante presentaciones de avances y discusiones grupales. También es importante reconsiderar el uso de herramientas antiplagio, ya que pueden generar falsos positivos al detectar la asistencia de IA. Por último, se debe plantear la evaluación del aprendizaje en función del contexto y la experiencia de los estudiantes, considerando las implicaciones del uso de IA.

Referencias: 
(Boletin1_IA_2024-01-19.pdf, p.10; IA_Practica_Docente_2024-01-24.pdf, p.13; Boletin1_IA_2024-01-19.pdf, p.8).",
Que etapas del proceso de investigacion pueden apoyarse con IA y con que precauciones?,4.01,4,4,2,True,Incorporacion_IA_Procesos_de_Investigacion_2024-06-12-6.pdf (p.10); Incorporacion_IA_Procesos_de_Investigacion_2024-06-12-6.pdf (p.8); Boletin1_IA_2024-01-19.pdf (p.8); Incorporacion_IA_Procesos_de_Investigacion_2024-06-12-6.pdf (p.3),"La inteligencia artificial puede apoyar diversas etapas del proceso de investigación, como la recolección y análisis de datos, la identificación de patrones complejos y la generación de descubrimientos. Sin embargo, es crucial tener en cuenta ciertas precauciones, como la supervisión humana adecuada y la incorporación del contexto de estudio. Además, se deben implementar medidas para abordar los riesgos éticos asociados, como la protección de información sensible y la transparencia en el uso de modelos de IA. La participación de comités de ética en la investigación es fundamental para mitigar estos riesgos.

Referencias: (Incorporacion_IA_Procesos_de_Investigacion_2024-06-12-6.pdf, p.3; Incorporacion_IA_Procesos_de_Investigacion_2024-06-12-6.pdf, p.8).",
Que se recomienda sobre transparencia o trazabilidad (indicar cuando se uso IA)?,4.227,4,3,2,True,Incorporacion_IA_Procesos_de_Investigacion_2024-06-12-6.pdf (p.8); Incorporacion_IA_Procesos_de_Investigacion_2024-06-12-6.pdf (p.10); Boletin1_IA_2024-01-19.pdf (p.3),"Se recomienda que en los procesos de investigación que utilizan inteligencia artificial (IA), se incluya una clara indicación de cuándo se ha utilizado esta tecnología. Esto es fundamental para aumentar la transparencia y la trazabilidad de los resultados obtenidos. Además, se sugiere que los comités de ética en la investigación jueguen un papel activo en la supervisión del uso de IA, asegurando que se aborden los riesgos éticos y se proteja la información sensible de los participantes (Incorporacion_IA_Procesos_de_Investigacion_2024-06-12-6.pdf, p.8; p.10).

Referencias:
(Incorporacion_IA_Procesos_de_Investigacion_2024-06-12-6.pdf, p.8; Incorporacion_IA_Procesos_de_Investigacion_2024-06-12-6.pdf, p.10).",
Que limitaciones se advierten sobre confiar totalmente en respuestas generadas por IA?,4.027,4,3,2,True,Incorporacion_IA_Procesos_de_Investigacion_2024-06-12-6.pdf (p.8); Incorporacion_IA_Procesos_de_Investigacion_2024-06-12-6.pdf (p.10); Boletin1_IA_2024-01-19.pdf (p.8),"Las limitaciones de confiar totalmente en respuestas generadas por IA incluyen la posibilidad de sesgos en los datos utilizados para entrenar los modelos, lo que puede afectar la equidad y la igualdad en los resultados de investigación. Además, se advierte sobre los riesgos de emplear IA sin el contexto adecuado y la supervisión humana, lo que puede llevar a conclusiones erróneas. También se destaca la importancia de establecer pautas éticas claras para la recopilación de datos y la publicación de resultados, así como la necesidad de mantener la integridad de la información frente a riesgos de seguridad cibernética.

Referencias: 
(Incorporacion_IA_Procesos_de_Investigacion_2024-06-12-6.pdf, p.8; Incorporacion_IA_Procesos_de_Investigacion_2024-06-12-6.pdf, p.10; Boletin1_IA_2024-01-19.pdf, p.8).",
"Segun los documentos, que acciones puede tomar una institucion para adoptar IA de forma responsable?",3.303,4,4,2,True,Boletin1_IA_2024-01-19.pdf (p.10); Boletin1_IA_2024-01-19.pdf (p.3); Incorporacion_IA_Procesos_de_Investigacion_2024-06-12-6.pdf (p.8); Incorporacion_IA_Procesos_de_Investigacion_2024-06-12-6.pdf (p.10),"Para adoptar la inteligencia artificial (IA) de forma responsable, una institución puede implementar varias acciones. Es fundamental que académicos y estudiantes reporten el uso de sistemas de IA en sus actividades, asegurando la transparencia en la investigación. Además, se debe respetar la privacidad de los datos de los participantes, obteniendo su consentimiento informado y publicando los resultados de manera ética. La creación de comités de ética en la investigación es esencial para mitigar riesgos éticos y proteger información sensible. También se recomienda la formación continua de los integrantes de la comunidad académica sobre el uso adecuado de la IA y la actualización de normativas y procesos relacionados.

Referencias: 
(Boletin1_IA_2024-01-19.pdf, p.10; Incorporacion_IA_Procesos_de_Investigacion_2024-06-12-6.pdf, p.8; Incorporacion_IA_Procesos_de_Investigacion_2024-06-12-6.pdf, p.10).",
